Source	URL	Bias	Score
21st Century Wire	https://mediabiasfactcheck.com/21st-century-wire/	CP	x
369 News	https://mediabiasfactcheck.com/369news/	CP	x
A Sheep No More	https://mediabiasfactcheck.com/a-sheep-no-more/	CP	x
Abel Danger	https://mediabiasfactcheck.com/abel-danger/	CP	x
Above Top Secret	https://mediabiasfactcheck.com/above-top-secret/	CP	x
ACNLatitudes	https://mediabiasfactcheck.com/acn-latitudes/	CP	x
Activist Post	https://mediabiasfactcheck.com/activist-post/	CP	x
ADW News	https://mediabiasfactcheck.com/adw-news/	CP	x
Age of Autism	https://mediabiasfactcheck.com/age-of-autism/	CP	x
Alternative Media Television (AMTV)	https://mediabiasfactcheck.com/alternative-media-television-amtv/	CP	x
AltHealth Works	https://mediabiasfactcheck.com/althealth-works/	CP	x
American Free Press	https://mediabiasfactcheck.com/american-free-press/	CP	x
American Intelligence Report	https://mediabiasfactcheck.com/american-intelligence-report/	CP	x
Anderson Institute	https://mediabiasfactcheck.com/anderson-institute/	CP	x
Anonymous	https://mediabiasfactcheck.com/anonymous/	CP	x
Another Day in the Empire	https://mediabiasfactcheck.com/another-day-in-the-empire/	CP	x
Answers in Genesis	https://mediabiasfactcheck.com/answers-in-genesis/	CP	x
Awareness Act	https://mediabiasfactcheck.com/awareness-act/	CP	x
Blacklisted News	https://mediabiasfactcheck.com/blacklisted-news/	CP	x
Center for Security Policy	https://mediabiasfactcheck.com/center-for-security-policy/	CP	x
Charisma News	https://mediabiasfactcheck.com/charisma-news/	CP	x
Christian Broadcasting Network (CBN)	https://mediabiasfactcheck.com/christian-broadcasting-network-cbn/	CP	x
Christian Times Newspaper	https://mediabiasfactcheck.com/christian-times-newspaper/	CP	x
Climate Depot	https://mediabiasfactcheck.com/climate-depot/	CP	x
Coast to Coast AM	https://mediabiasfactcheck.com/coast-to-coast-am/	CP	x
Collective Evolution	https://mediabiasfactcheck.com/collective-evolution/	CP	x
Collectively Conscious	https://mediabiasfactcheck.com/collectively-conscious/	CP	x
Conscious Life News	https://mediabiasfactcheck.com/conscious-life-news/	CP	x
Conspiracy Planet	https://mediabiasfactcheck.com/conspiracy-planet/	CP	x
Countdown to Zerotime	https://mediabiasfactcheck.com/countdown-to-zerotime/	CP	x
Counter Current News	https://mediabiasfactcheck.com/counter-current-news/	CP	x
CounterPsyOps	https://mediabiasfactcheck.com/counterpsyops/	CP	x
Covert Geopolitics	https://mediabiasfactcheck.com/covert-geopolitics/	CP	x
CS Globe	https://mediabiasfactcheck.com/cs-globe/	CP	x
Daily Occupation	https://mediabiasfactcheck.com/daily-occupation/	CP	x
Daily Star UK	https://mediabiasfactcheck.com/daily-star-uk/	CP	x
Data Asylum	https://mediabiasfactcheck.com/data-asylum/	CP	x
David Icke	https://mediabiasfactcheck.com/david-icke/	CP	x
David Wolfe	https://mediabiasfactcheck.com/david-wolfe/	CP	x
Debunking Skeptics	https://mediabiasfactcheck.com/scepcop-debunking-skeptics/	CP	x
Disclose TV	https://mediabiasfactcheck.com/disclose-tv/	CP	x
Discovery Institute	https://mediabiasfactcheck.com/discovery-institute/	CP	x
Ecowatch	https://mediabiasfactcheck.com/ecowatch/	CP	x
Educate Yourself	https://mediabiasfactcheck.com/educate-yourself/	CP	x
End Time Headlines	https://mediabiasfactcheck.com/end-time-headlines/	CP	x
Every News Here	https://mediabiasfactcheck.com/every-news-here/	CP	x
Evolution News and Views	https://mediabiasfactcheck.com/evolution-news-and-views/	CP	x
Family Survival Headlines	https://mediabiasfactcheck.com/family-survival-headlines/	CP	x
Food Babe	https://mediabiasfactcheck.com/food-babe/	CP	x
Free Thought Project	https://mediabiasfactcheck.com/free-thought-project/	CP	x
Friends of Science	https://mediabiasfactcheck.com/friends-of-science/	CP	x
From the Trenches World Report	https://mediabiasfactcheck.com/from-the-trenches-world-report/	CP	x
GeoEngineering Watch	https://mediabiasfactcheck.com/geoengineering-watch/	CP	x
Global Research	https://mediabiasfactcheck.com/global-research/	CP	x
Global Skywatch	https://mediabiasfactcheck.com/global-skywatch/	CP	x
Godlike Productions	https://mediabiasfactcheck.com/godlike-productions/	CP	x
Government Slaves	https://mediabiasfactcheck.com/government-slaves/	CP	x
Greenpeace	https://mediabiasfactcheck.com/greenpeace/	CP	x
Gulag Bound	https://mediabiasfactcheck.com/gulag-bound/	CP	x
Health Eternally	https://mediabiasfactcheck.com/health-eternally/	CP	x
Health Impact News	https://mediabiasfactcheck.com/health-impact-news/	CP	x
Health Nut News	https://mediabiasfactcheck.com/health-nut-news/	CP	x
Health Sciences Institute	https://mediabiasfactcheck.com/health-sciences-institute/	CP	x
Higgins News Network	https://mediabiasfactcheck.com/higgins-news-network/	CP	x
HL12	https://mediabiasfactcheck.com/hl12/	CP	x
Humans are Free	https://mediabiasfactcheck.com/humans-are-free/	CP	x
Illuminati News	https://mediabiasfactcheck.com/illuminati-news/	CP	x
Illuminati Watcher	https://mediabiasfactcheck.com/illuminati-watcher/	CP	x
Independent Living News	https://mediabiasfactcheck.com/independent-living-news/	CP	x
Infinite Unknown	https://mediabiasfactcheck.com/infinite-unknown/	CP	x
Infowars	https://mediabiasfactcheck.com/infowars-alex-jones/	CP	10
Institute for Creation Research	https://mediabiasfactcheck.com/institute-for-creation-research-icr/	CP	x
Institute for Responsible Technology	https://mediabiasfactcheck.com/institute-for-responsible-technology/	CP	x
Intellihub	https://mediabiasfactcheck.com/intellihub/	CP	x
Investment Watch Blog	https://mediabiasfactcheck.com/investment-watch-blog/	CP	x
Jews News	https://mediabiasfactcheck.com/jews-news/	CP	x
Jones Report	https://mediabiasfactcheck.com/jones-report/	CP	x
Knowledge of Today	https://mediabiasfactcheck.com/knowledge-of-today/	CP	x
LaRouche PAC	https://mediabiasfactcheck.com/larouche-pac/	CP	x
Liberty Videos	https://mediabiasfactcheck.com/liberty-videos/	CP	x
Live Action	https://mediabiasfactcheck.com/live-action/	CP	x
Living Resistance	https://mediabiasfactcheck.com/living-resistance/	CP	x
Living Whole	https://mediabiasfactcheck.com/living-whole/	CP	x
Mercola	https://mediabiasfactcheck.com/mercola/	CP	x
Modern Alternative Mama	https://mediabiasfactcheck.com/modern-alternative-mama/	CP	x
Morning Ledger	https://mediabiasfactcheck.com/morning-ledger/	CP	x
Natural Awakenings Magazine	https://mediabiasfactcheck.com/natural-awakenings-magazine/	CP	x
Natural Cures	https://mediabiasfactcheck.com/natural-cures/	CP	x
Natural Cures Not Medicine	https://mediabiasfactcheck.com/natural-cures-not-medicine/	CP	x
Natural News	https://mediabiasfactcheck.com/natural-news/	CP	x
Neon Nettle	https://mediabiasfactcheck.com/neon-nettle/	CP	x
New American News	https://mediabiasfactcheck.com/new-american-news/	CP	x
News Inside Out	https://mediabiasfactcheck.com/newsinsideout-com/	CP	x
News Target	https://mediabiasfactcheck.com/news-target/	CP	x
NoDisInfo	https://mediabiasfactcheck.com/nodisinfo/	CP	x
Now The End Begins	https://mediabiasfactcheck.com/now-the-end-begins/	CP	x
Pak Alert Press	https://mediabiasfactcheck.com/pak-alert-press/	CP	x
PETA	https://mediabiasfactcheck.com/peta-people-for-the-ethical-treatment-of-animals/	CP	x
Political Blindspot	https://mediabiasfactcheck.com/political-blind-spot/	CP	x
Prison Planet	https://mediabiasfactcheck.com/prison-planet/	CP	x
Prop or Not	https://mediabiasfactcheck.com/prop-or-not/	CP	x
Prophecy Today	https://mediabiasfactcheck.com/prophecy-today/	CP	x
Real Jew News	https://mediabiasfactcheck.com/real-jew-news/	CP	x
RealFarmacy	https://mediabiasfactcheck.com/realfarmacy/	CP	x
Reflection of Mind	https://mediabiasfactcheck.com/reflection-of-mind/	CP	x
Rense	https://mediabiasfactcheck.com/rense/	CP	x
Secret of the Fed	https://mediabiasfactcheck.com/secrets-of-the-fed/	CP	x
Sheep Killers	https://mediabiasfactcheck.com/sheep-killers/	CP	x
Shoebat	https://mediabiasfactcheck.com/shoebat/	CP	x
Signs of the Times (SOTT)	https://mediabiasfactcheck.com/signs-of-the-times-sott/	CP	x
Skeptiko	https://mediabiasfactcheck.com/skeptiko/	CP	x
Southfront	https://mediabiasfactcheck.com/south-front/	CP	x
Stillness in the Storm	https://mediabiasfactcheck.com/stillness-in-the-storm/	CP	x
Storm Clouds Gathering	https://mediabiasfactcheck.com/storm-clouds-gathering/	CP	x
Stormfront	https://mediabiasfactcheck.com/stormfront/	CP	x
Sustainable Pulse	https://mediabiasfactcheck.com/sustainable-pulse/	CP	x
The Anti-Media	https://mediabiasfactcheck.com/the-anti-media/	CP	x
The Common Sense Show	https://mediabiasfactcheck.com/the-common-sense-show/	CP	x
The Controversial Files	https://mediabiasfactcheck.com/the-controversial-files/	CP	x
The Corbett Report	https://mediabiasfactcheck.com/the-corbett-report/	CP	x
The Daily Sheeple	https://mediabiasfactcheck.com/the-daily-sheeple/	CP	x
The European Union Times	https://mediabiasfactcheck.com/the-european-union-times/	CP	x
The Event Chronicle	https://mediabiasfactcheck.com/the-event-chronicle/	CP	x
The Forbidden Knowledge	https://mediabiasfactcheck.com/the-forbidden-knowledge/	CP	x
The Internet Post	https://mediabiasfactcheck.com/the-internet-post/	CP	x
The Last Great Stand	https://mediabiasfactcheck.com/the-last-great-stand/	CP	x
The Liberty Beacon	https://mediabiasfactcheck.com/the-liberty-beacon/	CP	x
The Mind Unleashed	https://mediabiasfactcheck.com/the-mind-unleashed/	CP	x
The Rundown Live	https://mediabiasfactcheck.com/the-rundown-live/	CP	x
The Stream	https://mediabiasfactcheck.com/the-stream/	CP	x
The Trumpet	https://mediabiasfactcheck.com/the-trumpet/	CP	x
The Truth about Cancer	https://mediabiasfactcheck.com/the-truth-about-cancer/	CP	x
The Truth Seeker	https://mediabiasfactcheck.com/the-truth-seeker/	CP	x
The Waking Times	https://mediabiasfactcheck.com/the-waking-times/	CP	x
Thrive Movement	https://mediabiasfactcheck.com/thrive-movement/	CP	x
Topinfo Post	https://mediabiasfactcheck.com/topinfo-post/	CP	x
True Pundit	https://mediabiasfactcheck.com/true-pundit/	CP	x
TruNews	https://mediabiasfactcheck.com/trunews/	CP	x
Truth Broadcating Network	https://mediabiasfactcheck.com/truth-broadcasting-network/	CP	x
Truth Channel Politics	https://mediabiasfactcheck.com/truth-channel-politics/	CP	x
Underground Health	https://mediabiasfactcheck.com/underground-health/	CP	x
USA Hitman	https://mediabiasfactcheck.com/usa-hitman/	CP	x
Veterans Today	https://mediabiasfactcheck.com/veterans-today/	CP	x
Vigilant Citizen	https://mediabiasfactcheck.com/vigilant-citizen/	CP	x
Voice of America TV	https://mediabiasfactcheck.com/voice-of-america-tv-voiceofamericatv-com/	CP	x
Watts Up with that	https://mediabiasfactcheck.com/watts-up-with-that/	CP	x
We are Anonymous	https://mediabiasfactcheck.com/we-are-anonymous/	CP	x
We are Change	https://mediabiasfactcheck.com/we-are-change/	CP	x
Wellness Achiever	https://mediabiasfactcheck.com/wellness-achiever/	CP	x
Whale.to	https://mediabiasfactcheck.com/whale-to/	CP	x
WhatDoesItMean	https://mediabiasfactcheck.com/whatdoesitmean/	CP	x
Why Don't You Try This	https://mediabiasfactcheck.com/why-dont-you-try-this/	CP	x
Wikispooks	https://mediabiasfactcheck.com/wikispooks/	CP	x
World Truth TV	https://mediabiasfactcheck.com/world-truth-tv/	CP	x
Your News Wire	https://mediabiasfactcheck.com/your-news-wire/	CP	x
Zerohedge	https://mediabiasfactcheck.com/zero-hedge/	CP	x
Redoubt News	https://mediabiasfactcheck.com/redoubt-news/	CP	x
Media Fact Watch	https://mediabiasfactcheck.com/media-fact-watch/	CP	x
Vaccine News	https://mediabiasfactcheck.com/vaccines-news/	CP	x
Environmental Working Group (EWG)	https://mediabiasfactcheck.com/environmental-working-group-ewg/	CP	x
Ancient Origins	https://mediabiasfactcheck.com/ancient-origins/	CP	x
Thinking Mom's Revolution	https://mediabiasfactcheck.com/thinking-moms-revolution/	CP	x
Science Vibe	https://mediabiasfactcheck.com/science-vibe/	CP	x
Alt-Market	https://mediabiasfactcheck.com/alt-market/	CP	x
Ancient Code	https://mediabiasfactcheck.com/ancient-code/	CP	x
Assassination Science	https://mediabiasfactcheck.com/assassination-science/	CP	x
Asia-Pacific Research	https://mediabiasfactcheck.com/asia-pacific-research/	CP	x
JeffereyJaxen.com	https://mediabiasfactcheck.com/jeffereyjaxen-com/	CP	x
Christiantoday.info	https://mediabiasfactcheck.com/christiantoday-info/	CP	x
Newsbud	https://mediabiasfactcheck.com/newsbud/	CP	x
I Love Native Americans	https://mediabiasfactcheck.com/i-love-native-americans/	CP	x
Religion Mind	https://mediabiasfactcheck.com/religion-mind/	CP	x
Freedomain Radio	https://mediabiasfactcheck.com/freedomain-radio/	CP	x
American Herald Tribune	https://mediabiasfactcheck.com/american-herald-tribune/	CP	x
Twisted News	https://mediabiasfactcheck.com/twisted-news/	CP	x
The Hearty Soul	https://mediabiasfactcheck.com/the-hearty-soul/	CP	x
Tyranny Rising	https://mediabiasfactcheck.com/tyranny-rising/	CP	x
Medusa Magazine	https://mediabiasfactcheck.com/medusa-magazine/	CP	x
Autism Speaks	https://mediabiasfactcheck.com/autism-speaks/	CP	x
Principia Scientific International	https://mediabiasfactcheck.com/principia-scientific-international/	CP	x
The Earth Child	https://mediabiasfactcheck.com/the-earth-child/	CP	x
SaneVax	https://mediabiasfactcheck.com/sanevax/	CP	x
Earthpulse Press	https://mediabiasfactcheck.com/earthpulse-press/	CP	x
Curious Mind Magazine	https://mediabiasfactcheck.com/curious-mind-magazine/	CP	x
Our Health Guides	https://mediabiasfactcheck.com/our-health-guides/	CP	x
Catholic Online	https://mediabiasfactcheck.com/catholic-online/	CP	x
FaithPanda	https://mediabiasfactcheck.com/faithpanda/	CP	x
Rapture News Network	https://mediabiasfactcheck.com/rapture-news-network/	CP	x
What Really Happened	https://mediabiasfactcheck.com/what-really-happened/	CP	x
Educate Inspire Change	https://mediabiasfactcheck.com/educate-inspire-change/	CP	x
Viral News Network	https://mediabiasfactcheck.com/viral-news-network/	CP	x
Israel, Islam and End Times	https://mediabiasfactcheck.com/israel-islam-end-times/	CP	x
Christian Science	https://mediabiasfactcheck.com/christian-science/	CP	x
Space.News	https://mediabiasfactcheck.com/space-news/	CP	x
Natural Medicine Team	https://mediabiasfactcheck.com/natural-medicine-team/	CP	x
Biologos Foundation	https://mediabiasfactcheck.com/biologos-foundation/	CP	x
Natural Health 365	https://mediabiasfactcheck.com/natural-health-365/	CP	x
Henry Makow (savethemales.ca)	https://mediabiasfactcheck.com/henry-makow-savethemales-ca/	CP	x
The Daily Check	https://mediabiasfactcheck.com/the-daily-check/	CP	x
Vaccines Revealed	https://mediabiasfactcheck.com/vaccines-revealed/	CP	x
